Entity	Entity Type	Entity Subtype	Geometric Rendering	Code	Remarks	
		NATO Class I Supply Point	Point1	321701		
		NATO Class II Supply Point	Point1	321702		
		NATO Class III Supply Point	Point1	321703		
		NATO Class IV Supply Point	Point1	321704		
		NATO Class V Supply Point	Point1	321705		
		NATO Multiple Class Supply Point	Point1	321706		
		US Class I Supply Point	Point1	321707		
		US Class II Supply Point	Point1	321708		
		US Class III Supply Point	Point1	321709		
		US Class IV Supply Point	Point1	321710		
		US Class V Supply Point	Point1	321711		
		US Class VI Supply Point	Point1	321712		
		US Class VII Supply Point	Point1	321713		
		US Class VIII Supply Point	Point1	321714		
		US Class IX Supply Point	Point1	321715		
		US Class X Supply Point	Point1	321716		
	Medical Supply Point		Point1	321800		
Sustainment Lines				330000		
	Moving Convoy		Line9	330100		
	Halted Convoy		Line20	330200		
	Main Supply Route		Line21	330300		
		One Way Traffic	Line21	330301		
		Two Way Traffic	Line21	330302		
		Alternating Traffic	Line21	330303		
	Alternate Supply Route		Line21	330400		
		One Way Traffic	Line21	330401		
		Two Way Traffic	Line21	330402		
		Alternating Traffic	Line21	330403		
Mission Tasks				340000		
	Block		Area24	340100		
	Breach		Line22	340200		
	Bypass		Point12	340300		
	Canalize		Point12	340400		
	Clear		Line23	340500		
	Counterattack		Axis2	340600		
	Counterattack by Fire		Axis2	340700		
	Delay		Line24	340800		
	Destroy		Point2	340900		
	Disrupt		Area25	341000		
	Fix		Line28	341100		
	Follow and Assume		Line25	341200		
	Follow and Support		Line25	341300		
	Interdict		Point14	341400		
	Isolate		Area15	341500		
	Neutralize		Point2	341600		
	Occupy		Area16	341700		
	Penetrate		Area17	341800		
	Relief in Place (RIP)		Area18	341900		
	Retire/Retirement		Line24	342000		
	Secure		Area19	342100		
	Security			342200		
		Cover	Line26	342201		
		Guard	Line26	342202		
		Screen	Line26	342203		
	Seize		Line27	342300		
	Withdraw		Line24	342400		
	Withdraw Under Pressure		Line24	342500		
	Cordon and Knock		Area15	342600		
	Cordon and Search		Area15	342700		
	Suppress		Point2	342800		
	Advance to Contact		Line	342900		
	Capture		Line	343000		
	Conduct Exploitation		Line	343100		
	Control		Area	343200		
	Demonstration		Line	343300		
	Deny		Area	343400		
	Envelop		Line	343500		
	Escort		Line	343600		
	Exfiltrate		Line	343700		
	Infiltrate		Line	343800		
	Locate		Area	343900		
	Pursue		Line	344000		
Space Debris				350000		
	Man Made Space Debris			350100		
		Man Made Space Debris Small	Point	350101		
		Man Made Space Debris Medium	Point	350102		
		Man Made Space Debris Big	Point	350103		
	Natural Space Debris			350200		
		Natural Space Debris Small	Point	350201		
		Natural Space Debris Medium	Point	350202		
		Natural Space Debris Big	Point	350203		
